Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1900024,regulation of substrate adhesion-dependent cell spreading,19_GO:0050789 regulation of biological process,-4,11,6.7,30284,62,225,5,2.2,0.98,998|2316|3611|3690|3987,CDC42|FLNA|ILK|ITGB3|LIMS1,-2.2,down
GO Biological Processes,19,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,19_GO:0050896 response to stimulus,-4,3.8,5,30284,430,225,12,5.3,1.5,1950|3416|3690|3937|4067|7429|8440|8895|8997|26060|51552|84959,EGF|IDE|ITGB3|LCP2|LYN|VIL1|NCK2|CPNE3|KALRN|APPL1|RAB14|UBASH3B,-2.2,down
GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-4,2.9,4.6,30284,794,225,17,7.6,1.8,439|637|3312|5530|6469|6500|7295|7531|7879|8766|10059|10890|11315|22919|26060|51560|130617,GET3|BID|HSPA8|PPP3CA|SHH|SKP1|TXN|YWHAE|RAB7A|RAB11A|DNM1L|RAB10|PARK7|MAPRE1|APPL1|RAB6B|ZFAND2B,-2.2,down
WikiPathways,27,WP382,MAPK signaling,,-4,4.9,5.3,30284,247,225,9,4,1.3,998|1845|1950|2316|2318|3303|3312|5530|10235,CDC42|DUSP3|EGF|FLNA|FLNC|HSPA1A|HSPA8|PPP3CA|RASGRP2,-2.2,down
GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0009987 cellular process,-4,3.5,4.9,30284,500,225,13,5.8,1.6,271|353|2023|2766|3303|3312|4190|5214|5223|5226|5315|7167|29789,AMPD2|APRT|ENO1|GMPR|HSPA1A|HSPA8|MDH1|PFKP|PGAM1|PGD|PKM|TPI1|OLA1,-2.2,down
Reactome Gene Sets,6,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,,-4,11,6.7,30284,63,225,5,2.2,0.98,3303|3312|5700|5701|7534,HSPA1A|HSPA8|PSMC1|PSMC2|YWHAZ,-2.2,down
WikiPathways,27,WP4628,Aerobic glycolysis augmented,,-4,31,9.4,30284,13,225,3,1.3,0.76,2023|5315|7167,ENO1|PKM|TPI1,-2.2,down
GO Biological Processes,19,GO:0034498,early endosome to Golgi transport,19_GO:0051179 localization,-4,31,9.4,30284,13,225,3,1.3,0.76,30845|51552|53916,EHD3|RAB14|RAB4B,-2.2,down
GO Biological Processes,19,GO:0006892,post-Golgi vesicle-mediated transport,19_GO:0051179 localization,-4,8,6.1,30284,101,225,6,2.7,1.1,2060|6102|8766|10890|30845|51552,EPS15|RP2|RAB11A|RAB10|EHD3|RAB14,-2.2,down
GO Biological Processes,19,GO:0031333,negative regulation of protein-containing complex assembly,19_GO:0048519 negative regulation of biological process,-3.9,6.5,5.7,30284,146,225,7,3.1,1.2,998|3312|5216|7429|11315|22919|81559,CDC42|HSPA8|PFN1|VIL1|PARK7|MAPRE1|TRIM11,-2.1,down
Reactome Gene Sets,6,R-HSA-3299685,Detoxification of Reactive Oxygen Species,,-3.9,16,7.5,30284,34,225,4,1.8,0.88,2876|2950|7295|9973,GPX1|GSTP1|TXN|CCS,-2.1,down
